127.0.0.1, 2015-03-07 10:55:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2015-03-07 10:55:06, GET, /admin/default/delete/storynode/views/default/index.html, HTTP/1.1, 200, 0.028839
127.0.0.1, 2015-03-07 10:55:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000229
127.0.0.1, 2015-03-07 10:55:08, POST, /admin/default/delete/storynode/views/default/index.html, HTTP/1.1, 303, 0.022743
127.0.0.1, 2015-03-07 10:55:09, GET, /admin/default/design/storynode, HTTP/1.1, 200, 0.087485
127.0.0.1, 2015-03-07 10:55:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
127.0.0.1, 2015-03-07 10:55:12, GET, /admin/default/delete/storynode/views/default/user.html, HTTP/1.1, 200, 0.028801
127.0.0.1, 2015-03-07 10:55:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000229
127.0.0.1, 2015-03-07 10:55:13, POST, /admin/default/delete/storynode/views/default/user.html, HTTP/1.1, 303, 0.025279
127.0.0.1, 2015-03-07 10:55:13, GET, /admin/default/design/storynode, HTTP/1.1, 200, 0.074064
127.0.0.1, 2015-03-07 10:55:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/default/edit/storynode/models/menu.py, HTTP/1.1, 200, 0.064974
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000392
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000327
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001718
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001082
127.0.0.1, 2015-03-07 10:55:28, GET, /admin/static/_2.9.12/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000623
